news_id,news_title,news_link,car_id
1,경사 주차중 ‘P단’ 풀려?…아이오닉5 등 6.5만대 리콜,https://biz.sbs.co.kr/article_hub/20000063311?division=NAVER,1
2,"벤츠, ML280CDI, ML350, ML63AMG 리콜",http://www.asiae.co.kr/uhtml/read.jsp?idxno=2009042821154837969,1
3,벤츠 ML 280·현대 아이오닉5 등 6개사 48개 차종 리콜,https://news.kbs.co.kr/news/view.do?ncd=5466310&ref=A,1
4,현대차·벤츠·폭스바겐 등 48개 차종 6만5천대 리콜,http://www.newsfc.co.kr/news/articleView.html?idxno=52078,1
5,벤츠 S600 등 승용차(7종) 리콜실시,http://korea.kr/newsWeb/appmanager/portal/news?_nfpb=true&portlet_partnews_1_actionOverride=%2Fpages%2Fbrief%2FpartNews%2Fview&_windowLabel=portlet_partnews_1&_pageLabel=news_page_08&_nfls=false&portlet_partnews_1dataId=155296606,1
6,"메르세데스 벤츠, E220 CDI '1만 4천 여대' 국내서 리콜, 엔진 성능 저하...",http://www.kbench.com/?q=node/147882,2
7,"벤츠 C220 CDI, E220 CDI 리콜",http://www.asiae.co.kr/news/view.htm?idxno=2010121204550331954,2
8,"벤츠코리아, C220 CDI · E220 CDI 425대 '리콜'",http://news1.kr/articles/967691,2
9,"국토부, 벤츠 C220 CDI·E220 CDI 425대 리콜",http://biz.chosun.com/site/data/html_dir/2013/01/13/2013011301110.html,2
10,E220 CDI 등 벤츠 디젤차 425대 리콜,http://www.etoday.co.kr/news/section/newsview.php?idxno=676832,2
11,"환경부, 3만5000대 규모 벤츠S350-현대 그랜저2.2 리콜 검토 중",http://www.mdtoday.co.kr/mdtoday/index.html?no=340369,3
12,"그랜저2.2 및 벤츠 S350 블루텍, 3만5천대 리콜 계획...환경부, 질소산화...",http://www.greened.kr/news/articleView.html?idxno=85481,3
13,"벤츠 배출가스 조작 발표한 환경부, 향후 리콜시기와 방법은 어떻게?",http://daily.hankooki.com/lpage/industry/202005/dh20200520070024147980.htm?s_ref=nv,3
14,"'경유차 약 4만대' 벤츠·닛산·포르쉐 등 배출가스조작..환경부, 리콜·...",http://kpenews.com/View.aspx?No=835651,3
15,그랜저·벤츠 디젤차 3만5000대‘질소산화물 초과’ 리콜 계획,https://www.khan.co.kr/article/201812010003001,3
16,"벤츠승용차, C220CDI 등 5종 2424대 리콜",http://www.asiae.co.kr/news/view.htm?idxno=2012010802515732464,4
17,"국토부, E220CDI 등 벤츠 2424대 리콜",http://www.etoday.co.kr/news/section/newsview.php?TM=news&SM=2202&idxno=528935,4
18,"벤츠코리아, 디젤 5개 차종 총 2424대 리콜",http://biz.chosun.com/site/data/html_dir/2012/01/08/2012010800354.html,4
19,"벤츠, 연료필터 결함으로 2400여대 무더기 리콜",http://www.moneytoday.co.kr/view/mtview.php?type=1&no=2012010811348271570&outlink=1,4
20,벤츠 5차종 2424대 무더기 리콜..`연료 누유 결함`,http://www.edaily.co.kr/news/newspath.asp?newsid=01302166599395752,4
21,"벤츠 C220 CDI, E220 CDI 리콜",http://www.asiae.co.kr/news/view.htm?idxno=2010121204550331954,5
22,"벤츠코리아, C220 CDI · E220 CDI 425대 '리콜'",http://news1.kr/articles/967691,5
23,"국토부, 벤츠 C220 CDI·E220 CDI 425대 리콜",http://biz.chosun.com/site/data/html_dir/2013/01/13/2013011301110.html,5
24,"[CAR] 벤츠 코리아, ‘C220 CDI’와 ‘E220 CDI’ 1367대 리콜",http://polinews.co.kr/news/newsview.html?no=118298,5
25,"벤츠 C220 CDI, E220 CDI 디젤승용차 425대 리콜",http://view.heraldcorp.com/view.php?ud=20130114000011,5
26,[리콜] BMW 520d·SRX 668·S 400 D 4MATIC 등 결함 시정 실시,http://www.dailypop.kr/news/articleView.html?idxno=55916,6
27,BMW-캐딜락-벤츠 등 리콜 실시...원인은? [모터그램],http://www.sisunnews.co.kr/news/articleView.html?idxno=152198,6
28,"국토교통부, 비엠더블유·캐딜락·벤츠 결함시정(리콜) 실시",http://www.job-post.co.kr/news/articleView.html?idxno=42120,6
29,"BMW·캐딜락·벤츠 등 84개 차종 22만 3,330대 리콜",http://www.nbntv.co.kr/news/articleView.html?idxno=942110,6
30,"BMW·캐딜락·벤츠 차량 22만여대, 제작결함 리콜",http://www.skyedaily.com/news/news_view.html?ID=146204,6
31,BMW 미니쿠퍼S 등 10차종 리콜 실시,http://www.newspim.com/common/redirect.jsp?newsId=20120503000921,12
32,미니쿠퍼 S 리콜 단행,http://sports.chosun.com/news/ntype.htm?id=201202100100063680005384&servicedate=20120209,12
33,현대-기아-토요타벤츠-BMW-볼보 총 15만대 ‘리콜’,http://www.mdtoday.co.kr/mdtoday/index.html?no=277972,12
34,"에프엠케이, 폭스바겐, 스즈키, 지엠, BMW 리콜 실시 및 예정",http://ilyo.co.kr/?ac=article_view&entry_id=173181,12
35,"에프엠케이, 폭스바겐, 스즈키, 지엠, BMW 리콜 실시 및 예정",http://www.korea.kr/policy/pressReleaseView.do?newsId=156119340,12
36,[자동차 리콜] 벤츠 GLK 220 CDI 4MATIC 등 3차종,http://www.00news.co.kr/news/articleView.html?idxno=63381,13
37,"국토부, 기아차·벤츠·BMW 등 64개 차종 4만9959대 리콜",http://biz.newdaily.co.kr/site/data/html/2020/10/12/2020101200168.html,13
38,벤츠 12개 차종 8163대 리콜… 에어백 폭발할 때 탑승객 안전 위협,http://www.kgnews.co.kr/news/articleView.html?idxno=581908,13
39,"""화재 위험 발견""···현대·기아차, BMW 등 5만대 리콜",http://www.sisajournal-e.com/news/articleView.html?idxno=224394,13
40,카니발 연료 누유 가능성…국토부 64개 차종 5만대 리콜,http://www.busan.com/view/busan/view.php?code=2020101212033185413,13
41,"한국지엠, 쉐보레 '아베오1.6' 1873대 리콜",http://www.asiae.co.kr/news/view.htm?idxno=2012022310323334988,14
42,한국지엠 ‘쉐보레 아베오1.6’ 리콜‥어떤 문제?,http://polinews.co.kr/news/newsview.html?no=142350,14
43,한국지엠 쉐보레 아베오1.6 리콜,http://www.moneytoday.co.kr/view/mtview.php?type=1&no=2012022310454243328&outlink=1,14
44,한국지엠 쉐보레 아베오 1873대 리콜,http://www2.korea.kr/newsWeb/pages/brief/categoryNews2/view.do?newsDataId=148728292&category_id=subject&section_id=EDS0102002&call_from=extlink&subjectName=economy,14
45,"한국지엠 쉐보레 아베오, 리콜 실시",http://www.etoday.co.kr/news/section/newsview.php?TM=news&SM=2407&idxno=548869,14
46,페라리·볼보트럭·할리데이비슨 '제작결함' 리콜,http://sports.chosun.com/news/ntype.htm?id=201508280100283500020130&servicedate=20150827,15
47,페라리 29대 · 할리데이비슨 943대 · 볼보트럭 111대 리콜,http://www.metroseoul.co.kr/news/newsview?newscd=2015082700004,15
48,"페라리-볼보트럭, 에어백 차축 등으로 리콜조치",http://www.gpkorea.com/bbs/board.php?bo_table=gp_motorsports&wr_id=13112,15
49,페라리·할리데이비슨 등 제작결함 리콜조치,http://www.ekn.kr/news/article.html?no=159746,15
50,‘슈퍼카’ 페라리 29대·할리데이비슨 943대 리콜조치,http://www.cnews.co.kr/uhtml/read.jsp?idxno=201508270933027780255,15
51,싼타페 맥스크루즈 등 차량 38종 40만 대 리콜,http://www.businesspost.co.kr/news/articleView.html?idxno=52029,16
52,FLHR 등 할리데이비슨 1228대 리콜,http://www.etoday.co.kr/news/section/newsview.php?TM=news&SM=2499&idxno=550083,18
53,기흥모터스 수입 오토바이 13종 리콜,http://www.moneytoday.co.kr/view/mtview.php?type=1&no=2012022608124824677&outlink=1,18
54,싼타페 맥스크루즈 등 차량 38종 40만 대 리콜,http://www.businesspost.co.kr/news/articleView.html?idxno=52029,18
55,"할리데이비슨, 브레이크 결함으로 리콜",http://www.newspim.com/common/redirect.jsp?newsId=20120226000038,18
56,할리데이비슨 오토바이 1228대 리콜,http://www.asiae.co.kr/news/view.htm?idxno=2012022608052016704,18
57,페라리 자동차·볼보 트럭 제작 결함으로 리콜,http://www.asiatoday.co.kr/view.php?key=20150826010014828,19
58,할리데이비슨 FLHX 등 안전기준 부적합…총 1083대 리콜,http://news1.kr/articles/?2393406,19
59,"페라리, 볼보트럭, 할리데이비슨 리콜 실시",http://www.kyeongin.com/?mod=news&act=articleView&idxno=995735,19
60,페라리·볼보트럭·할리데이비슨 ‘리콜’..‘결함’ 살펴보니,http://www.breaknews.com/sub_read.html?uid=390049&section=sc3,19
61,"국토부 ""페라리·볼보트럭·할리데이비슨 리콜""",http://www.gukjenews.com/news/articleView.html?idxno=322177,19
62,"어쩐지 ""부르릉 쾅쾅~"" 할리데이비슨 리콜 시정",http://sports.chosun.com/news/ntype.htm?id=201305130100102780008510&servicedate=20130513,22
63,수입이륜차 '할리데이비슨' 소음 기준초과…16대 리콜,http://www.edaily.co.kr/news/newspath.asp?newsid=01325126602808264,22
64,할리데이비슨 지나친 굉음…전량 리콜!,http://www.asiae.co.kr/news/view.htm?idxno=2013051208072572520,22
65,'할리데이비슨' 소음 너무 커…16대 리콜,http://www.ajunews.com/kor/view.jsp?newsId=20130512000087,22
66,수입이륜차 할리데이비슨 소음 기준초과 리콜,http://www.cancerline.co.kr/html/8758.html,22
