car_id,model_name,manufacturer_id
281,토스카 2.0 LPG,5
282,A8 3.0TDI,18
283,A8 4.2TDI,18
284,A8 4.0TFSI,18
285,POLO 1.6 TDI,18
286,GOLF A7 1.6 TDI BMT,18
287,티구안 2.0TDI,18
288,티구안 2.0TSI,18
289,S6 4.0,18
290,S7 4.0,18
291,BMW K 1600GT,20
292,BMW K 1600 GTL,20
293,소프테일 디럭스 CVO,6
294,소프트테일 브레이크아웃 CVO,6
295,CVO 로드킹,6
296,CVO 리미티드,6
297,일렉트라 글라이드 울트라 클래식,6
298,스트리트 글라이드,6
299,울트라 리미티드,6
300,라보,5
301,다마스,5
302,XJ,30
303,벤자,26
304,캠리 하이브리드,26
305,캠리,26
306,캠리 V6,26
307,벤자 V6,26
308,750i,4
309,745Li,4
310,750Li,4
311,코란도 투리스모,38
312,코란도 스포츠,38
313,735Li,4
314,730i,4
315,730Li,4
316,745i,4
317,타운카,16
318,NINJA300,37
319,UM125,21
320,GSX-R750,21
321,GSX-R600,21
322,GSX-R1000/Z,21
323,스파크,5
324,이보크,30
325,프리랜더2,30
326,528i(XG31),4
327,X3 xDrive 28i,4
328,Z4sDrive28i,4
329,X3 28i,4
330,528ixDrive,4
331,M5 Sedan,4
332,328xi,4
333,328i GT,4
334,U400,39
335,U500,39
336,F800ST,20
337,F800S,20
338,CBR500R,27
339,CB500X,27
340,프리우스,26
341,토요타캠리,26
342,토요타아발론,26
343,토요타캠리V6,26
344,토요타캠리 하이브리드,26
345,토요타시에나2WD,26
346,토요타시에나4WD,26
347,짚 그랜드체로키(WK),15
348,짚 체로키(KJ) 4WD,15
349,짚 그랜드체로키(WJ/WG) 4WD,15
350,푸조508 2.0 HDI,25
351,푸조508W 2.0 HDI,25
352,푸조508 2.2 HDI,25
353,V40,14
354,XT1200Z,11
355,YTF-R1,11
356,BENLY110,27
357,XJR 5.0SC,30
358,XFR-S5.0SC,30
359,Range Rover 2.2D,30
360,F800GS,20
361,F800GSADV,20
362,F800GT,20
363,F700GS,20
364,C600SPORT,20
365,C650GT,20
366,R1200GS,20
367,R1200R,20
368,300C AWD LX,15
369,짚그랜드체로키(WK),15
370,CITARO(시타로),39
371,MT09,11
372,XVS950CU,11
373,오디세이,23
374,QUON 6*4,24
375,TGA 28.413FNLS,17
376,TGA 28.480 6X2-2 BLS,17
377,TGA 28.440 6X2-2 BLS,17
378,TGA 28.430 6X2-2 BLS,17
379,TGA 28.460 6X2-2 BLS,17
380,TGA 28.410 6X2-2 BLS,17
381,TGA 28.463 FNLS,17
382,TGX 28.480 6X2-2 BLS,17
383,TGX 28.480 FNLS,17
384,SM5 LPG,31
385,SM5 가솔린,31
386,FXSBSE,6
387,FXSB,6
388,JX,13
389,패스파인더,13
390,알티마,13
391,Q50,13
392,1199 Panigale s,8
393,1199 Panigale s Tricolore,8
394,1199 Panigale,8
395,1199 Panigale ABS,8
396,1199 Panigale R,8
397,푸조 3008 2.0 HDI,25
398,F-type,30
399,크루즈,5
400,Range Rover 3.0D,30
401,Range Rover 5.0SC,30
402,Range Rover 4.4D,30
403,카이엔S,9
404,파나메라 터보,9
405,파나메라S,9
406,파나메라4S,9
407,파나메라,9
408,파나메라4,9
409,R1200S,20
410,R1200ST,20
411,K1600GTL,20
412,HP4,20
413,K1600GT,20
414,R1200RT,20
415,K1300S,20
416,K1300GT,20
417,F800R,20
418,R1200GSADV,20
419,R1200GSHPEnduro,20
420,R1200GSHP2Magamoto,20
421,HP2Sport,20
422,K1200RSport,20
423,K1300R,20
424,K1200GT,20
425,C600S,20
426,800GSADV,20
427,VESPA PX125,40
428,시트로엥 DS3 1.6 eHDI,25
429,푸조 208 1.4 eHDI,25
430,푸조 208 1.6 eHDI,25
431,PASSAT 2.0 TDI,18
432,PASSAT 2.5 MPI,18
433,퓨전 하이브리드,16
434,링컨MKZ하이브리드,16
435,캐딜락CTS(AWD),2
436,K7,19
437,FLHTKSE(울트라 리미티드 CVO),6
438,마칸S Turbo,9
439,마칸S,9
440,마칸S Diesel,9
441,L200,41
442,"RVR(2WD,4WD)",41
443,뉴티업,3
444,FLHTK(울트라리미티드),6
445,FLHTCU TC(울트라클래식),6
446,FLHRC(로드킹클래식),6
447,FLHX(스크리트 글라이드),6
448,FLHRSE(로드킹 CVO),6
449,FLHTP(일렉트라 글라이드 폴리스),6
450,렉서스GS350,26
451,캐딜락ATS,2
452,캐딜락CTS,2
453,푸조 3008 1.6 e-HDI,25
454,MKX,16
455,911GT3,9
456,690 ENDURO R/690 SMC R,33
457,크루즈(2.0디젤),5
458,알페온(2.4가솔린),5
459,올란도(2.0디젤),5
460,알페온(3.0가솔린),5
461,XFR-S,30
462,VESPA 946 125,40
463,SLK55 AMG,1
464,G2X(RMG67),5
465,싼타페(DM),10
466,트랙스,5
467,SL63 AMG,1
468,SLK200,1
469,X6 35i,4
470,X5 3.0Si,4
471,135i,4
472,Z4 30i,4
473,335Xi,4
474,335i Cabrio,4
475,328i Cabrio,4
476,535iX,4
477,640i,4
478,GT 535Xi,4
479,GT 535i,4
480,X3 35i,4
481,X5 35i,4
482,328Xi,4
483,BS090,42
484,BS106(CNG고상버스),42
485,DYNA LOW RIDER,6
486,아웃랜더 3.0L,41
487,카마로,5
488,Range Rover 4.4L,30
489,A6,18
490,A7,18
491,Q7,18
492,MKC,16
493,S 125 3V,40
494,VESPA LX 125 3V,40
495,LXV 125 3V,40
496,C220CDI(204002),1
497,C200K,1
498,C200CGI,1
499,SM3,31
500,C350,1
501,"C280,300 4MATIC",1
502,"C280,300",1
503,C63 AMG,1
504,"C230,250",1
505,C220CDI(204008),1
506,캐딜락드빌DHC,2
507,캐딜락DTS,2
508,짚 그랜드체로키(ZJ),15
509,짚 체로키(KJ),15
510,Q50 하이브리드,13
511,C220 BLUETEC,1
512,C250 BLUETEC 4MATIC,1
513,C200,1
514,쉐보레익스프레스,43
515,TGS 28.440 6X2-2 BLS,17
516,페라리458,7
517,TGX 28.440 6X2-2 BLS,17
518,TGA 26.480 6X4 BLS,17
519,TGA 26.440 6X4 BLS,17
520,TGA 26.430 6X4 BLS,17
521,크루즈(라세티프리미어),5
522,FXSBSE(소프테일 브레이크 아웃 CVO),6
523,FLSTNSE(소프테일 디럭스 CVO),6
524,MIRAGE(GV-250),3
525,DIAVEL STRIPE,8
526,DIAVEL DARK,8
527,DIAVEL AMG,8
528,DIAVEL CROMO,8
529,DIVEL CARBON,8
530,DIAVEL,8
531,MT07A,11
532,TGX 28. 440 6X2-2 BLS,17
533,TGS 28. 440 6X2-2 BLS,17
534,TGX 26. 480 6X4 BLS,17
535,TGX 28. 480 6X2-2 BLS,17
536,TGX 26. 440 6X4 BLS,17
537,렉서스GS450h,26
538,렉서스IS250,26
539,렉서스LS460L AWD,26
540,렉서스LS600hL,26
541,렉서스IS250C,26
542,렉서스GS460,26
543,렉서스LS460L,26
544,렉서스LS460 AWD,26
545,렉서스LS460,26
546,S 1000 R,20
547,아웃랜더,41
548,911터보카브리올레,9
549,911터보S카브리올레,9
550,카이맨,9
551,911카레라S카브리올레,9
552,박스터S,9
553,박스터,9
554,911카레라4S,9
555,911터보S,9
556,911카레라4S카브리올레,9
557,푸조 208 1.6 e-HDI 5D,25
558,푸조 208 1.4 e-HDI 5D,25
559,시트로엥 DS3 1.6 e-HDI 3D,25
560,쉐보레익스프레스(GMC사바나)_승용,44
561,쉐보레익스프레스(GMC사바나)_승합,44
562,A4 2.0 TFSI,18
563,A4 2.0 TDI,18
564,S4 3.0 TFSI,18
565,그랜드보이저,15
566,레인지로버 디젤(3.0),30
567,레인지로버 스포츠 휘발유(3.0),30
568,레인지로버 휘발유(5.0),30
569,레인지로버 디젤(4.4),30
570,레인지로버 스포츠 디젤(3.0),30
571,XJ 휘발유(5.0),30
572,XF 디젤(2.2),30
573,XF 휘발유(2.0),30
574,XF 휘발유(5.0),30
575,XF 휘발유(3.0),30
576,XF 디젤(3.0),30
577,XJ 휘발유(2.0),30
578,XJ 디젤(3.0),30
579,F-type(5.0),30
580,F-type(3.0),30
581,XJ 휘발유(3.0),30
582,캐딜락 ATS,2
583,Beetle 2.0 TDI,18
584,랜서에볼루션,41
585,랜서(CY4A-1),41
586,랜서(CY4A),41
587,캐딜락 CTS,2
588,FORZA,27
589,FSH125,27
590,MSX125,27
591,시에나 2WD,26
592,시에나 4WD,26
593,K 1300 S,20
594,S 1000 RR,20
595,K 1300 R,20
596,SX-F,33
597,SIX-DAYS,33
598,GL1800,27
599,GL1800 F6B,27
600,액티언 스포츠(전륜),38
601,렉스턴(후륜),38
602,렉스턴(전+후륜),38
603,카이런(전+후륜),38
604,액티언(전륜),38
605,렉스턴(전륜),38
606,카이런(후륜),38
607,카이런(전륜),38
608,B200 CDI,1
609,C220 CDI COUPE,1
610,A200 CDI,1
611,CLA200 CDI,1
612,CLS250 CDI,1
613,E220 BLUETEC,1
614,E250 CDI 4MATIC,1
615,CLS250 BLUETEC 4MATIC,1
616,E250 BLUETEC 4MATIC,1
617,GLA200 CDI 4MATIC,1
618,E300 BLUETEC HYBRID,1
619,GLA200 CDI,1
620,GLK220 CDI 4MATIC,1
621,FLS(소프테일 슬림),6
622,QX80,13
623,Q70S 5.6,13
624,쥬크,13
625,파제로,41
626,MT07,11
627,유니목(U400),39
628,유니목(U500),39
629,푸조 2008 1.6 e-HDI,25
630,캐딜락 Escalade,2
631,316i,4
632,SM5,31
633,528i Xdrive,4
634,Z4 28i,4
635,328i(3A63),4
636,328i(3C21),4
637,330Xi,4
638,323i,4
639,325Xi,4
640,323Ci,4
641,325Ci,4
642,330Ci,4
643,FXDB,6
644,FLSTN,6
645,FXDWG,6
646,FLD,6
647,FLSTFB,6
648,FXDF,6
649,FLSTF,6
650,FLSTC,6
651,FXS,6
652,FXDC,6
653,E200,1
654,C250 Blue TEC 4Matic,1
655,C220 BlueTEC,1
656,E300 4Matic,1
657,E300,1
658,E250 Blue TEC 4Matic,1
659,E400 4Matic,1
660,E350 Blue TEC 4Matic,1
661,FX50,13
662,FX35,13
663,EX35,13
664,봉고3 1.2톤,19
665,그랜저하이브리드,10
666,Pathfinder,13
667,QX60 Hybrid,13
668,QX60,13
669,라세티프리미어,5
670,올란도,5
671,파나메라 4S,9
672,카에엔 S,9
673,파나메라 4,9
674,시타로,39
675,BS106(디젤),42
676,BS090(디젤),42
677,BS120CN,42
678,BS110CN,42
679,BC211M,42
680,아반떼HD,10
681,i30(FD),10
682,알페온,5
683,말리부,5
684,XJ(2.0/3.0/5.0),30
685,FM 6x4 트랙터,24
686,E350 4Matic,1
687,CLS400,1
688,E200 CGI,1
689,CLS 63 AMG 4Matic,1
690,E63 AMG 4Matic,1
691,E350,1
692,E63 AMG,1
693,CLS 63 AMG,1
694,FM 6x4 카고트럭,24
695,FH 6x4 트랙터,24
696,CLS 63 S 4Matic,1
697,로그,13
698,320d Xdrive sedan,4
699,320d Sedan Efficient Dynamics E,4
700,파사트1.8TSI,18
701,MINI Cooper D,4
702,MINI Cooper,4
703,MINI Cooper S,4
704,320d Xdrive Gran Turismo,4
705,420d Gran Coupe,4
706,320d Gran Turismo,4
707,420d Xdrive Gran Coupe,4
708,320d Sedan,4
709,320i Sedan,4
710,"짚체로키, KL",15
711,"짚랭글러, JK",15
712,파나메라 S Hybrid,9
713,카이엔 S Hybrid,9
714,Range Rover,30
715,Range Rover Sport,30
716,Range Rover 4.4 디젤,30
717,Range Rover 5.0 가솔린,30
718,Range Rover 3.0 디젤,30
719,Discovery4,30
720,A8 3.0 TFSI,18
721,A6 3.0 TFSI,18
722,A7 3.0 TFSI,18
723,GTV 300,40
724,GTV 250,40
725,GTS 250,40
726,GTS 300 S,40
727,LX 125 ie,40
728,YZF-R1,11
729,MT09A,11
730,YZF-R6,11
731,XT1200ZE,11
732,MT09TRA,11
733,시트로엥 C4 Picasso 2.0 Blue-HDI,25
734,시트로엥 Grand C4 Picasso 2.0 Blue-HDI,25
735,푸조 308 2.0 HDI,25
736,푸조 308SW 2.0 HDI,25
737,690 SMC R 2014,33
738,올란도 LPG,5
739,티구안 2.0 TDI,18
740,TGX 28.440 6*2-2 BLS,17
741,TGS 26.440 6*2-2 BLS,17
742,TGX 26.480 6*4 BLS,17
743,TGX 28. 480 6*2-2 BKS,17
744,C220 Blue TEC,1
745,CLS250 Blue TEC 4Matic,1
746,CLA200 CDI 4Matic,1
747,E220 Blue TEC,1
748,GLK220 CDI 4Matic,1
749,GLA200 CDI 4Matic,1
750,QM3,31
751,"짚그랜드체로키, WK",15
752,FLTRXS,6
753,FLMXSE,6
754,FLHXS,6
755,FLHTCU TC,6
756,FLHTCUL TC,6
757,베리타스,5
758,FM 6*4 카고,24
759,FH 8*4 카고,24
760,FM 8*4 카고,24
761,큐온 6*4 카고트럭,24
762,535i xDrive,4
763,525d xDrive,4
764,528i xDrive,4
765,FLHTKL,6
766,MTS1200S SPORT,8
767,MTS1200S GT,8
768,MTS1200S TOURING,8
769,MTS1200S PP,8
770,MTS1200S ABS,8
771,MTS1200 ABS,8
772,918스파이더,9
773,K 1200 R,20
774,K 1200 GT,20
775,K 1300 GT,20
776,HP2 SPORT,20
777,K 1200 R SPORT,20
778,K 1200 S,20
779,R 1200 RT,20
780,R 1200 ST,20
781,R 1200 R,20
782,R 1200 S,20
783,R 1200 GS,20
784,R 1200 GS ADV,20
785,R 1200 GS HP,20
786,HP2 Megamoto,20
787,캡티바,5
788,렉서스 NX200t,26
789,두에고,45
790,Actros,39
791,990 SMT 2011,33
792,990 SMT 2010,33
793,990 SMT 2009,33
794,690 SMC R 2013,33
795,690 SMC R ABS 2014,33
796,익스플로어,16
797,XK,30
798,690 SMC R 2012,33
799,CR-V(RD6),23
800,CR-V(RE4),23
801,CR-V(RD7),23
802,ACCORD(CM5),23
803,Panigale R,8
804,듀랑고,15
805,XC90,14
806,320d xD drive,4
807,428i coupe,4
808,420i coupe,4
809,328i sedan,4
810,428i convertible,4
811,320i sedan,4
812,320d EDE,4
813,A180 CDI,1
814,CLA 250 4MATIC,1
815,CLA 45 AMG 4MATIC,1
816,CA110,46
817,GLA 200 CDI,1
818,윈스톰,5
819,아웃랜더(CW5W),41
820,아웃랜더(CW6W),41
821,FLHRSE,6
822,FLHTKSE,6
823,페라리 La Ferrari,7
824,페라리 California T,7
825,페라리 458 Special A,7
826,페라리 FF,7
827,페라리 F12 Berlinetta,7
828,페라리 458 Special,7
829,FH,24
830,FM,24
831,CR-V(RE3),23
832,NSS300,27
833,CTX700A,27
834,CBR300R,27
835,NC750XA,27
836,CRF250L,27
837,NC750D,27
838,CBR650F,27
839,CBR125R,27
840,CLS 400,1
841,G 650 GS,20
842,이클립스,41
843,MINI Cooper SD,4
844,MINI Cooper SD Clubman,4
845,MINI Cooper SD Countryman,4
846,MINI Cooper SD Paceman ALL4,4
847,Active Tourer,4
848,X3 20d,4
849,MINI Cooper D Countryman,4
850,XG750,6
851,MINI Cooper SD Coupe,4
852,MINI Cooper SD Paceman,4
853,MINI Cooper SD Countryman ALL4,4
854,520d GT,4
855,420 Coupe,4
856,MINI Cooper D Paceman,4
857,MINI Cooper D Clubman,4
858,MINI Cooper D Countryman ALL4,4
859,320d GT,4
860,320d Touring,4
861,X1 18d,4
862,520d Touring,4
863,MINI Cooper D Paceman ALL4,4
864,몬데오,16
865,머스탱,16
866,그랜드스타렉스,10
867,Vulcan 1700 Voyager,37
868,VC70,14
869,"짚그랜드체로키, WK/WH",15
870,"짚커맨더, XH",15
871,Atego,39
872,E250 BlueTEC 4Matic,1
873,E220 BlueTEC,1
874,C250 BlueTEC 4Matic,1
875,E250 CDI 4Matic,1
876,마세라티 Quattroporte,7
877,맥시마,13
878,FREERIDE 350 2015,33
879,FREERIDE 250 R 2015,33
880,FREERIDE 250 R 2014,33
881,FREERIDE 350 2013,33
882,FREERIDE 350 2014,33
883,S63 AMG MATIC 쿠페,1
884,CLA250 4MATIC,1
885,시트로엘 DS5 2.0 HDI,25
886,시트로엥 DS4 2.0 HDI,25
887,푸조 Expert tepee 2.0 HDI,25
888,푸조 508sw 2.0 HDI,25
889,푸조 508 2.0 HDI,25
890,푸조 308cc 2.0 HDI,25
891,S500 HYBRID,1
892,S60CC,14
893,V60CC,14
894,New Continental GTC Speed,18
895,New Continental GT V8,18
896,Continental Supersports Convertible,18
897,Continental Flying Spur Speed,18
898,New Continental GT Speed,18
899,Continental Flying Spur,18
900,Flying Spur,18
901,New Continental GT,18
902,New Continental GTC V8,18
903,New Continental GTC,18
904,GL1800B,27
905,GL1800(SC47),27
906,GL1800(SC68),27
907,마칸 터보,9
908,크라이슬러 C200,15
909,S63 AMG MATIC 롱,1
910,마세라티 GranTurismo,7
911,마세라티 GranCabrio,7
912,RAV4 2WD,26
913,RAV4 4WD,26
914,CC,18
915,Jetta,18
916,EOS,18
917,GOLF,18
918,TGS 28.440 6*2-2 BL,17
919,TGM 18.340 4*2 BB,17
920,MINI Cooper Clubman,4
921,i3,4
922,MINI John Cooper Works,4
923,MINI Cooper D 5door,4
924,MINI Cooper S 5 door,4
925,MINI Cooper S Clubman,4
926,MINI Cooper 5 door,4
927,롤스로이스 팬텀 2,4
928,CHIEF DARK HORSE,28
929,ROADMASTER,28
930,CHIEF CLASSIC,28
931,CHIEF VINTAGE,28
932,CHIEFTAIN,28
933,Tiguan,18
934,Scirocco,18
935,Passat EUR,18
936,Passat US,18
937,TGM 18.340 4*2 BL,17
938,GSX-R1000A,21
939,GSX-S1000FA,21
940,GSX-S1000A,21
941,E350 Bluetec 4Matic,1
942,E220 Bluetec,1
943,E250 Bluetec 4Matic,1
944,CLS250 BlueTEC 4Matic,1
945,C250 Bluetec 4Matic,1
946,C300 4Matic,1
947,QM5 디젤,31
948,S63 AMG,1
949,S63 AMG 4MATIC Coupe,1
950,S63 AMG 4MATIC Convertible,1
951,S63 AMG 4MATIC Long,1
952,스카니아 카고트럭,47
953,캘리포니아 T,7
954,Fusion,16
955,V60CC(FZA8),14
956,S80(A70),14
957,250 SX-F,33
958,YZF-R1M,11
959,XC70(BZ73),14
960,XC60(DZA8),14
961,XC60(D70),14
962,S60CC(FHA8),14
963,GranTurismo,7
964,짚체로키,15
965,스카니아 카코트럭,47
966,스카니아 트랙터,47
967,FM카고,24
968,FH카고,24
969,W800,37
970,이베코 26.5톤 카고트럭,48
971,FH 트랙터,24
972,코란도C,38
973,VT750CS,27
974,VFR1200F,27
975,VFR1200FD,27
976,VFR1200X,27
977,XW300,49
978,XW500,49
979,AT500,49
980,RW600,49
981,JS600,49
982,BX500ver2,49
983,BX300,49
984,RW300,49
985,RW500,49
986,JX300,49
987,RW400,49
988,BMW C 650 GT,20
989,Arocs,39
990,구형 투싼(LM),10
991,SM5(LPG),31
992,FL카고,24
993,C230,1
994,C300,1
995,C280,1
996,C300 4MATIC,1
997,C350 4MATIC,1
998,C200 KOMPRESSOR,1
999,C280 4MATIC,1
1000,프리몬트 JF,15
1001,짚체로키 KL,15
1002,짚체로키 KJ,15
1003,짚그랜드체로키 WJ/WG,15
1004,짚컴패스 MK,15
1005,구형 제네시스(BH),10
1006,에쿠스,10
1007,DL1000L5,21
1008,DL1000L4,21
1009,DL1000L6,21
1010,AN650ZA,21
1011,DL650A,21
1012,콰트로 포르테 S Q4,7
1013,콰트로 포르테 350,7
1014,콰트로 포르테 GTS,7
1015,콰트로 포르테 Diesel,7
1016,기블리 350,7
1017,기블리 Diesel,7
1018,기블리 S Q4,7
1019,사브,2
1020,Passat 1.8 TSI(US),18
1021,카이엔 S 하이브리드,9
1022,카이엔 S 디젤,9
1023,카이엔 S E-하이브리드,9
1024,카이엔 디젤 플래티늄에디션,9
1025,카이엔 플래티늄에디션,9
1026,카이엔 GTS,9
1027,카이엔 터보 S,9
1028,넥스트 스파크,5
1029,Grand C4 Picasso 2.0 Blue-HDi,25
1030,Citroen C4 Picasso 1.6 Blue-HDi,25
1031,Grand C4 Picasso 1.6 Blue-HDi,25
1032,308SW 2.0 Blue-Hdi(T9),25
1033,308 2.0 Blue-Hdi(T9),25
1034,308SW 1.6 Blue-Hdi(T9),25
1035,308 1.6 Blue-Hdi(T9),25
1036,GLC 220 BLUETEC 4MATIC,1
1037,아반떼 HD,10
1038,K5 TF,19
1039,쏘나타 YF,10
1040,K9,19
1041,Touareg 3.0 TDI,18
1042,Touareg 4.2 TDI,18
1043,Tiguan 2.0 TDI BMT,18
1044,아우디 Q5,18
1045,아베오,5
1046,소나타 LF,10
1047,아반떼 AD,10
1048,렉서스 ES350,26
1049,렉서스 GS300,26
1050,랜드로버 디스커버리스포츠 디젤,30
1051,랜드로버 이보크 디젤,30
1052,재규어 XF 가솔린,30
1053,재규어 XE 디젤,30
1054,재규어 XF 디젤,30
1055,SLK 200,1
1056,토요타 아발론,26
1057,420d Coupe,4
1058,320d xDrive,4
1059,420d xDrive Coupe,4
1060,320d xDrive Touring,4
1061,420d xDrive Gran Coupe,4
1062,320d xDrive GT,4
1063,32d ED,4
1064,Citaro,39
1065,1290 SUPER ADVENTURE,33
1066,E400 4MATIC,1
1067,E350 BLUETEC,1
1068,E450 AMG SPORT 4MATIC,1
1069,E300 4MATIC,1
1070,CIVIC FD1,23
1071,INSIGHT ZE2,23
1072,CIVIC FD3,23
