car_id,model_name,manufacturer_id
1,ML280 CDI,1
2,E220 CDI,1
3,S350 BLUETEC,1
4,ML300 CDI,1
5,C220 CDI,1
6,캐딜락SRX,2
7,RX 125SM,3
8,ST 7,3
9,COMET,3
10,MIRAGE,3
11,RT 125D,3
12,Cooper S,4
13,GLK220 CDI,1
14,쉐보레아베오1.6,5
15,FLHRC,6
16,FLHTP,6
17,FLHTCU,6
18,FLHR,6
19,FLHX,6
20,FLHXSE,6
21,FLTRX,6
22,FLHTCUSE,6
23,FLHTK,6
24,FLTRUSE,6
25,FLTRSE,6
26,FLHT,6
27,FLTRU,6
28,윈스톰 맥스2.0디젤,5
29,윈스톰2.0디젤,5
30,마제라티 그란투리스모 S,7
31,MONSTER796 ABS,8
32,MONSTER696 ABS,8
33,MONSTER1100 EVO,8
34,HYPERMOTARD796,8
35,카이엔S 하이브리드,9
36,카이엔,9
37,카이엔 S,9
38,카이엔 디젤,9
39,카이엔 터보,9
40,트라고,10
41,메가트럭와이드캡,10
42,뉴파워트럭,10
43,벨로스터,10
44,엑센트,10
45,YZF-R125,11
46,V-MAX,11
47,에이엠티 줄렉커,12
48,에이엠티 언더리프트,12
49,마제라티 그란투리스모S,7
50,마제라티 그란카브리오,7
51,마제라티 그란투리스모,7
52,QX56,13
53,M56,13
54,알페온 2.4 하이브리드,5
55,알페온 2.4,5
56,알페온 3.0,5
57,911카레라 카브리올레,9
58,911카레라S,9
59,911카레라S 카브리올레,9
60,911카레라,9
61,V60,14
62,S60,14
63,XC70,14
64,XC60,14
65,S80,14
66,DYNA MODEL,6
67,SOFTAIL MODEL,6
68,그랜더보이저,15
69,528i,4
70,650i,4
71,523i,4
72,550i,4
73,535d,4
74,535xi,4
75,M6,4
76,520i,4
77,525i,4
78,M5,4
79,525d,4
80,645Ci,4
81,535i,4
82,530i,4
83,545i,4
84,528xi,4
85,520d,4
86,525xi,4
87,530xi,4
88,530d,4
89,MONSTER1100EVO,8
90,올란도 2.0 디젤,5
91,올란도 2.0 LPG,5
92,포커스,16
93,박스터 S,9
94,760Li,4
95,550iX,4
96,Rolls-Royce GHOST,4
97,Mini Cooper S,4
98,X6,4
99,X6M,4
100,X5M,4
101,750LiX,4
102,B200,1
103,TGX,17
104,TGS,17
105,STREETFIGHTER 848,8
106,MONSTER1100EVO ABS,8
107,CC2.0TDI,18
108,Tiguan2.0TDI,18
109,모하비,19
110,S1000RR,20
111,300C,15
112,페라리 캘리포니아,7
113,페라리 458 이탈리아,7
114,GSX R1000,21
115,맥심,22
116,X5,4
117,파나메라 터보 S,9
118,파나메라 터보 파워 킷,9
119,CR-V,23
120,120d,4
121,Z4,4
122,이스케이프,16
123,Q5,18
124,FM 6*2 트랙터,24
125,FM 6*4 트랙터,24
126,FM 8*4 카고트럭,24
127,FM 6*4 카고트럭,24
128,FH 8*4 카고트럭,24
129,FH 6*4 트랙터,24
130,FH 6*2 트랙터,24
131,FH16 6*4 트랙터,24
132,라세티 2.0 디젤 해치백,5
133,라세티 1.6 가솔린 해치백,5
134,라세티 1.5 가솔린 해치백,5
135,젠트라,5
136,라세티,5
137,마티즈,5
138,토스카,5
139,508SW 1.6 HDI MCP,25
140,508SW 2.0 HDI,25
141,508 2.0 HDI,25
142,508 1.6 HDI MCP,25
143,508 2.2 HDI,25
144,토요타 RAV4 2WD,26
145,토요타 RAV4 4WD,26
146,1199Panigale,8
147,NC700X 인테그라,27
148,JX35,13
149,푸조 디젤308 1.6 MCP H야,25
150,저지,28
151,크로스컨트리투어,28
152,하이볼,28
153,하드볼,28
154,비젼,28
155,크로스로드리미,28
156,이베코 5톤카고트럭,29
157,K1200S,20
158,K1200R,20
159,CLS350,1
160,레인지 로버,30
161,XF,30
162,S-type,30
163,모닝,19
164,토요타 PRIUS,26
165,라세티 프리미어 2.0 디젤,5
166,QM5,31
167,캡티바 2.2 디젤,5
168,911 GT3,9
169,마제라티 그란카브리오 Sport,7
170,마제라티 그란투리스모 MC Stradale,7
171,BMW C600 SPORT,20
172,렉서스 IS-C,26
173,렉서스 IS-F,26
174,렉서스 IS250,26
175,Active E,4
176,대우4.5톤 카고,32
177,대우5톤 카고,32
178,BMW R1200GS,20
179,BMW S1000RR,20
180,BMW K1300R,20
181,BMW K1300S,20
182,S500 4MATIC,1
183,S500,1
184,S350,1
185,250 EXC-F,33
186,베라크루즈,10
187,싼타페,10
188,아반떼,10
189,쏘울,19
190,카렌스,19
191,쏘렌토,19
192,캐딜락 SRX,2
193,토러스,16
194,링컨 MKS,16
195,FJ크루저,26
196,푸조 207cc,25
197,2 행정 오프로드 모델,33
198,911 카레라 카브리올레,9
199,911 카레라,9
200,911 카레라 4,9
201,시트로엥 DS5,25
202,JETTA 1.6 TDI BMT,18
203,GOLF 1.6 TDI BMT,18
204,GOLF 1.4 TSI,18
205,토요타 프리우스,26
206,짚컴패스,15
207,레거시,34
208,아웃백,34
209,마세라티 콰트로포르테,7
210,마세라티 그란투리스모,7
211,알페온 2.4 이어시스트,5
212,로드스터,35
213,저상 트레일러,36
214,짚커맨더,15
215,다코타,15
216,짚그랜드체로키,15
217,렉서스 SC430,26
218,익스플로러,16
219,MKS,16
220,퓨전,16
221,MKZ,16
222,BMW C650GT,20
223,M3,4
224,325xi,4
225,GSX1300RAL3,21
226,x6 30d,4
227,x5 30d,4
228,x3 20d,4
229,330i,4
230,320i,4
231,318i,4
232,325i,4
233,325ci,4
234,330ci,4
235,푸조 3008,25
236,가와사키 닌자300,37
237,렉서스 RX400h,26
238,렉서스 GS350,26
239,제네시스 쿠페,10
240,그랜드 카니발,19
241,오피러스,19
242,로체,19
243,포르테,19
244,스포티지,19
245,K5,19
246,구형 그랜저,10
247,제네시스,10
248,투싼,10
249,i30,10
250,쏘나타,10
251,SUPER CUB,27
252,A6 2.7Q,18
253,A6 3.0Q,18
254,A6 2.4Q,18
255,Allroad Quattro 2.7T,18
256,BMW F800GS,20
257,BMW F700GS,20
258,푸조 508 2.2 HDI,25
259,짚랭글러,15
260,328i,4
261,320d ED,4
262,뮤시엘라고 쿠페,18
263,가야르도 LP560-4 SPYDER,18
264,뮤시엘라고 LP670-4,18
265,가야르도 슈퍼레제라,18
266,가야르도 LP560-4,18
267,118d,4
268,335i,4
269,116i,4
270,320d,4
271,320xd,4
272,335iH,4
273,인피니티M45,13
274,인피니티M35,13
275,ODYSSEY,23
276,그랜드 보이저,15
277,Path finder,13
278,콘티낸탈 슈퍼스포츠,18
279,콘티낸탈 GT,18
280,콘티낸탈 GT 스피드,18
